A	:	20	:	male	:	X	:	0912345678
B	:	21	:	female	:	Y	:	0912345679
C	:	22	:	male	:	Z	:	0912345680
D	:	23	:	male	:	X	:	0912345681
E	:	24	:	female	:	Y	:	0912345682
F	:	25	:	female	:	Z	:	0912345683
G	:	26	:	female	:	X	:	0912345684
H	:	27	:	male	:	Y	:	0912345685
I	:	28	:	female	:	Z	:	0912345686
J	:	29	:	male	:	X	:	0912345687
K	:	30	:	male	:	Y	:	0912345688
L	:	31	:	male	:	Z	:	0912345689
M	:	32	:	female	:	X	:	0912345690
N	:	33	:	female	:	Y	:	0912345691
O	:	34	:	female	:	Z	:	0912345692
P	:	35	:	female	:	X	:	0912345693
Q	:	36	:	male	:	Y	:	0912345694
R	:	37	:	male	:	Z	:	0912345695
S	:	38	:	female	:	X	:	0912345696
T	:	39	:	female	:	Y	:	0912345697
U	:	40	:	female	:	Z	:	0912345698
V	:	41	:	male	:	X	:	0912345699
W	:	42	:	female	:	Y	:	0912345700
X	:	43	:	female	:	Z	:	0912345701
Y	:	44	:	male	:	X	:	0912345702
Z	:	45	:	male	:	Y	:	0912345703
